,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
181,ark:/13030/c8794651/,English,"University of California, Davis General Library, Dept. of Special Collections",Trade Literature Collection,"University of California, Davis. Library",O-012,90 linear ft.,1885-2013,,"The collection contains manufacturers&#39; catalogs of various types of farm machinery and equipment, listed with price and ordering information.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,ark:/13030/c87946xw/,English,"University of California, Davis Library, Dept. of Special Collections",Martin and Eleanor Ray Papers,"Ray, Eleanor",D-335,19.4 linear feet,1902-1993,,"Correspondence, manuscripts, business files related to winemaker Martin Ray and wife Eleanor Ray&#39;s life and work.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,ark:/13030/c8794723/,English,,Steffi San Buenaventura Papers,,D-384,,,,"Manuscripts, correspondence, photographic materials, clippings, audiotapes, and memorabilia relating to San Buenaventura&#39;s research on Filipino American history. Also included is material on Hilario Moncado and the Filipino Federation of America.",,1888-2002,"San Buenaventura, Steffi.",100 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,ark:/13030/c87d2wvj/,English,,Frederick A. Brooks Papers,,D-100,,,,"Frederick A. Brooks served as Professor of Agricultural Engineering, University of California, Davis from 1931-1962. The collection contains correspondence, typescripts, notes, and reprints pertaining to Brooks’ teaching and agricultural engineering research at the University of California, Davis.",,1945-1960,"Brooks, Frederick A.(Frederick Augustus), 1895-1967.",8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,ark:/13030/c87d31w1/,English,"University of California, Davis Library, Dept. of Special Collections",Andrew Steinmetz Papers,"Steinmetz, Andrew, 1816-1877",MC010,0.1 linear feet,,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,circa 1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,ark:/13030/c87d3217/,English,,Lebaustri French Enology Collection,,MC050,,,,"Correspondence and manuscript concerning presses, new instruments and techniques, quantities, and miscellaneous aspects of making Burgundy.",,1771,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,ark:/13030/c87h1m9q/,English,,Howard G. MacMillan Papers,,D-059,,,,"Howard G. MacMillan began his career with the United States Department of Agriculture in 1915. In 1934, as a Principal Agriculture Explorer in the Division of Plant Exploration and Introduction, Bureau of Plant Industry, he traveled to Manchuria and Mongolia to gather drought-resistant grasses before returning to his previous position as Senior Pathologist in the Department of Botany at University of California, Los Angeles. The collection contains books, correspondence, financial papers, maps, and photographs relating to MacMillan&#39;s trip to Manchuria and Mongolia in 1934.",,1932-1973,"MacMillan, H. G.(Howard Gove), 1890-",2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,ark:/13030/c87h1mhd/,English,,George Ledyard Stebbins Papers,,D-117,,,,"Plant science research papers, correspondence, class materials and lecture notes.",,1949-1981,"Stebbins, G. Ledyard (George Ledyard), 1906-2000.",83.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,ark:/13030/c87h1rgm/,English,,Fair Oaks Fruit Company Archives,,MC123,,,,Fruit company&#39;s business records.,,circa 1920,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,ark:/13030/c87m0b58/,English,,James G. Van Maren Papers,,D-316,,,,"Speeches, working papers, photographs, articles, and reports.",,1900-1990,null,14 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,ark:/13030/c87p91mg/,English,,Sean S. Duffey Papers,,D-340,,,,Research material and publications by Duffey.,,1958-1996,"Duffey, Sean S.",5 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,ark:/13030/c87p94k8/,English,"University of California, Davis General Library, Dept. of Special Collections",Charles L. Sullivan Papers on California Wine History,"Sullivan, Charles L. (Charles Lewis), 1932-",D-346,16.4 linear feet,1812-2016,1957-2016,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,ark:/13030/c87s7vn4/,English,,J Earl Coke Collection,,MC190,,,,Publications written by Coke and others,,undated,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,ark:/13030/c87w6gkb/,English,,Vauxhall Gardens Collection,,MC036,,,,"Clippings, correspondence, financial papers, legal documents, and programs pertaining to London&#39;s Vauxhall Gardens. Accounts and salary details, legal and insurance fees, and auction records.",,1784-1888,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,ark:/13030/c88054cg/,English,,Seymour M. Gold Papers,,D-036,,,,"Environmental planning and management files; books, manuscripts, and research reports regarding open space preservation, recreation planning, and urban horticulture; public service files, including draft legislation; correspondence.",,1969-1992,"Gold, Seymour M.",136.9 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,ark:/13030/c88054vr/,English,,Norman Frazier Papers,,D-347,,,,Research notes and photographs from Frazier&#39;s career at UC Berkeley and UC Davis.,,1911-1993,"Frazier, Norman Walter,1907-",10 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,ark:/13030/c88055zh/,English,"University of California, Davis Library, Dept. of Special Collections",Stefano Varese Papers,"Varese, Stefano",D-555,19 linear feet,1969-2006,,"Articles by Varese, correspondence, and lecture and conference materials.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,ark:/13030/c880581n/,Portuguese,,Companhia Geral da Agricultura das Vinhas do Alto Douro Collection,,D-283,,,,"The Companhia Geral da Agricultura das Vinhas do Alto Douro was established as a royal monopoly to regulate the manufacture and trade of port wine and to curb the encroachment of British influence on the Portuguese wine industry. The collection includes documents issued by the Companhia from 1756 to 1852, consisting of two categories: 1) Alvaras, or royal decrees, and 2) Editals, or edicts issued by the governing body of the Companhia. The documents contain technical, economic, and legal information.",,1756-1852,Companhia Geral da Agricultura das Vinhas do Alto Douro.,1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,ark:/13030/c8833trz/,English,,Manuel A. Machado Papers,,D-295,,,,"Manuel Machado served as Professor of History, University of Montana and is the author of Aftosa: a Historical Survey of Hoof-and-Mouth Sisease and Inter-American relations (1969). The collection contains reprints, reports, and correspondence concerning the problem of hoof and mouth disease in cattle.",,1950-1980,"Machado, Manuel A.",2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ark:/13030/c8833zz9/,English,,Karla Thompson Papers,,MC214,,,,"World War II era photographs, scrapbook, and letters between Karla Kirchner Thompson, a young German woman and Herbert Fortner, a German airman.",,1940-1959,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,ark:/13030/c8862p94/,English,,Charles S Richardson Papers,,MC176,,,,Photographs.,,1930-1950,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ark:/13030/c88916kk/,Collection materials in English.,,Burnett Family Papers,Burnett Family,D-557,92 letters,1825-1918,,"Lester Burnett (1804-1870) settled in Yuba County, California in 1850. His son Wellington Burnett (1829-1907) served as city and county attorney of San Francisco. The collection contains correspondence related to Lester, his wife Olive, and their son Wellington, as well as other Burnett family members. Also included in the collection are legal and financial documents connected to the family.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,ark:/13030/c88917nw/,English,,Playbills: United States Collection,,D-200,,,,The collection contains predominantly 19th century printed advertisements announcing theatrical events; cast lists may or may not be included.,,1776-1959,null,1.6 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,ark:/13030/c8891bjs/,English,"University of California, Davis, UC Davis Library, Dept. of Special Collections",Bankowski (Raymond A.) Papers,"Bankowski, Raymond A. (Raymond Adam), 1914-1993",D-602,13 linear feet,1938-2016,,"The Raymond A. Bankowski Papers include research notes, laboratory and pathology data, reports, reprints, awards, correspondence, and slides related to Ray Bankowski&#39;s work in infectious disease in poultry and swine.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ark:/13030/c88c9zfm/,English,"University of California, Davis Library, Dept. of Special Collections",Asher Harer Papers,"Harer, Asher.",D-436,7.4 linear feet,1933-1998,,"Files on union activist Asher Harer&#39;s involvement with the International Longshore and Warehouse union; clippings on the Vietnam War and North American Free Trade Agreement (NAFTA), audiocassettes, and reel-to-reel tapes.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,ark:/13030/c88d02fs/,English,"University of California, Davis General Library, Dept. of Special Collections",Davis Comic Opera Company Records,Davis Comic Opera Company,D-618,Hand-painted plexiglass with Davis Comic Opera Company logo,1962-1993,,"The Davis Comic Opera Company was a theater group active in Davis, California, from 1973-2006, specializing in Gilbert &amp; Sullivan works and other comic operas. The collection includes photographs, slides, scrapbooks, flyers, theater programs, video recordings, clippings, and one plexiglass sign.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,ark:/13030/c88d0362/,English,,James R. Carey Papers,,MC019,,,,"Photocopies, newspapers clippings, letters, memos, and testimonies compiled by Carey related to his manuscript The 1989-90 medfly outbreak in Southern California: a chronology of newspaper clippings, letters, memos and testimonies (1990).",,1989-1990,null,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,ark:/13030/c88k7ddv/,English,"University of California, Davis Library, Dept. of Special Collections",Peter Marler Correspondence,"Marler, Peter.",D-483,20 linear feet,1960-2008,,"Correspondence relating to Professor of Neurobiology, Physiology, and Behavior Peter Marler&#39;s research on animal communication and his involvement with professional organizations.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,ark:/13030/c88p62tr/,English,,George Belden Crane Diaries,,D-203,,,,"The diaries discuss the care of Crane’s grape vines, wine making, and the weather.",,1839-1898,"Crane, George Belden,1806-1898.",0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,ark:/13030/c88p65xb/,English,"University of California, Davis Library, Dept. of Special Collections",Tansey W. Thomas Papers on the Status of African Americans in the City of Davis and UC Davis,"Thomas, Tansey W.",D-628,2.4 linear feet,1932-2015,,"Papers, placards, posters, photographs, and memorabilia related to the life and work of Davis, California community organizer and activist Tansey Thomas.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,ark:/13030/c88p66d1/,English,,Howard Steiner Collection,,MC014,,,,"Contains an article entitled &#34;An Old (Case) Tractor Story,&#34; published in Old Abe&#39;s News (1988) and an unpublished manuscript entitled &#34;The Cat Crawled Into the Woods and Ran...&#34;, recalling Steiner&#39;s experiences at Best Tractor Company during the 1920&#39;s, when he was occasionally sent to work in logging camps in Oregon or Northern California.",,1912-1965,"Steiner, Howard (1897-)",0.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,ark:/13030/c88p66td/,English,"University of California, Davis Library, Dept. of Special Collections",Rudolph L. Bialuski Papers,"Bialuski, Rudolph L.,",D-462,16 linear feet,circa 1941-2006,,"Correspondence, daybooks and journals, photographs, materials concerning Bialuski&#39;s scholastic work in Canada and his involvement with the United Nations Relief and Welfare Agency.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,ark:/13030/c89g5r1k/,English,,Rudolph L. Bialuski Papers,,D-462,,,,"Collection contain correspondence, daybooks and journals, photographs, materials concerning Bialuski’s scholastic work in Canada and his involvement with the United Nations Relief and Welfare Agency.",,circa 1941-2006,"Bialuski, Rudolph L., 1913-2007.",17.5 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,ark:/13030/c88s4rsv/,English,,Cincinnati Butchers&#39; Supply Company Collection,,D-367,,,,"Cincinnati Butchers&#39; Supply Co. was a manufacturer of meat packing equipment. The collection contains material regarding supply business operations including accounts, blueprints, and catalogs.",,1928-1980,Cincinnati Butchers’ Supply Company,2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,ark:/13030/c88s4rt9/,English,,"Entomological Society of America, Pacific Branch Records",,D-217,,,,"Annual meeting and committee minutes, annual reports, correspondence, financial documents, programs, and informational brochures.",,1939-1986,Entomological Society of America. Pacific Branch.,10 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,ark:/13030/c88s4rvr/,English,,Robert Fletcher Papers,,D-219,,,,"University of California, Davis student&#39;s class notes.",,circa 1930,"Fletcher, Robert.",0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,ark:/13030/c88s4s4r/,English,,Kyoi/Kuksu Archives,,D-325,,,,"Correspondence, poetry submissions, type and paper samples, drawings, paste-ups, and flyers.",,1961-1981,Kuksu Press -- Archives.,2.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,ark:/13030/c88s4t8z/,English,,Jay Mechling Collection,,D-481,,,,"Two photographs albums (scrapbooks) of Northern California images including some early University Farm and Picnic Day shots, as well as picture postcards and photographs of California and Western Pacific sites.",,1916-1986,"Mechling, Jay, 1945-.",2.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ark:/13030/c88s4wr2/,English,,California State Fair Photograph Collection,,MC209,,,,"Copy prints and original photographs of California State Fair exhibits, circa 1919-1925.",,1919-1925,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,ark:/13030/c88w3hnt/,English,,Randy Leffingwell Papers,,D-571,,,,"Leffingwell’s photographic transparencies as well as his research notes for his books: Ford Farm Tractors (1998), International Harvester Tractors (1999), Farm Tractor Milestones (2000), California Wine Country (2002), and John Deere: A History of the Tractor (2004).",,1869-2004,"Leffingwell, Randy, 1948-",53 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,ark:/13030/c89025hv/,English,,Northern California Entomology Club Records,,D-166,,,,"The California Entomology Club was formed in 1930 by university, state, and privately employed individuals with mutual interests in entomology. The organization split into a northern and southern California branch in 1954. Members met to exchange information about economic or practical pest control; the organization maintains a library and an insect collection. The collection contains minutes (1930-1975), correspondence (1960-1968), financial records (1969-1976), membership lists, constitution, and information about loan funds.",,1930-1976,Northern California Entomology Club,3 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,ark:/13030/c89025vb/,English,,Apiculturists Collection,,D-076,,,,"This small collection contains manuscripts, photographic images, and printed materials relating to 19th century apiculturists and apiaries.",,1880-1958,null,1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,ark:/13030/c8902610/,English,"University of California, Davis General Library, Dept. of Special Collections",Nursery and Seed Ephemera Collection,"University of California, Davis. Library.",O-042,6 linear feet,ca. 1910-2000,,"The Nursery and Seed Ephemera Collection began when the Department of Special Collections conducted a thorough review of the Nursery and Seed Catalog Collection. For the purposes of this collection, nursery and/or seed ephemera is promotional literature, plant or seed listings without ordering information, or catalogs for garden supplies other than plants or seeds.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,ark:/13030/c8930wdg/,English,"University of California, Davis Library, Dept. of Special Collections",Al Logan Slagle Collection,"Slagle, Al Logan.",D-437,256.2 linear feet,circa 1960-2002.,,"Research files and petitions from Cherokee attorney Al Logan Slagle&#39;s work assisting tribal groups in obtaining recognition of their tribal status from the federal government, correspondence, and manuscripts of his writings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,ark:/13030/c8930wkq/,English,"University of California, Davis Library, Dept. of Special Collections",Frank X. Ogasawara Papers,"Ogasawara, Frank X., 1913-2002",D-399,2.5 linear feet,1940-2000,,Correspondence and publications by Professor of Poultry Husbandry and Avian Sciences Frank X. Ogasawara.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,ark:/13030/c8959kss/,English,"University of California, Davis Library, Dept. of Special Collections",Ann C. Noble Papers,"Noble, Ann C.",D-415,4 linear feet,1973-2002,,"Syllabi, laboratory manuals, and lecture notes for Professor Ann C. Noble&#39;s Viticulture and Enology courses.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,ark:/13030/c8959qfz/,English,,David L. Olmsted Papers,,MC017,,,,"Articles by David L. Olmsted and manuscript of his book, A lexicon of Atsugewi.",,circa 1951-1980,"Olmsted, D. L. (David Lockwood), 1926-",0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,ark:/13030/c89888cb/,English,,Dan Crawford Papers and Photographs,,D-543,,,,"Dan Crawford was an agricultural journalist. He created the concept for the magazine, Spudman. He also took agriculture photographs around the world.",,1948-1980,"Crawford, Daniel, 1923-2012",15 linear ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,ark:/13030/c89888qt/,English,,Apiculture Subject File Collection,,D-077,,,,"This collection contains manuscripts, photographic images, and printed materials relating to pollination, hives, diseases, and pesticides.",,1860-1975,"University of California, Davis. Library",5.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,ark:/13030/c89888r8/,English,,John H. Leigh Papers,,D-186,,,,John H. Leigh (1859-1934) was a public reader of Shakespearian plays in Great Britain. The collection contains clippings of reviews and interviews concerning Leigh&#39;s public Shakespearian readings as well as notebooks revealing Leigh&#39;s detailed study of each play in preparation for his readings.,,1893-1912,"Leigh, John H.",2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,ark:/13030/c898899v/,English,,Kenneth Kew Papers,,D-286,,,,"Correspondence, reports, photographs, drawings, realia, and maps relating to Kew&#39;s career as a wine merchant for Draper Esquine.",,1951-1980,"Kew, Kenneth,1925-1987.",26 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,ark:/13030/c89c749f/,English,,Joe Heidrick Papers,,MC132,,,,"Notes and drawings relating to fire engines, steam shovels and tractors, bulldozers, and other kinds of agricultural machinery.",,1960-1978,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,ark:/13030/c89g5q2m/,English,,Panama Pacific International Exposition Collection,,D-563,340 Digital Images,,,"The Photographs of the Panama-Pacific International Exposition collection contains photographic glass negatives of the 1915 Panama-Pacific International Exposition taken by the Cardinell-Vincent Company, the official photographers of the Exposition.",,1915,null,5.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,ark:/13030/c89g5r5c/,English,,Edwin Friedrich Papers,,D-498,,,,"Course notes and timeline of chemistry at the University of California, Davis.",,1964-2009,"Friedrich, Edwin.",1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
